% Model,Dot-bridge-boundary.mph
% Version,COMSOL 6.0.0.318
% Date,"Oct 4 2025, 17:51"
% Table,Table 1 - Surface Integration 1
% r_hole (nm),D_Br_TG (nm),lambda (nm),V_QPC (V),"Electric displacement field, z component (C)"
70,100,0.9999999999999999,0.5,-2.367712927270224E-17
70,100,0.9999999999999999,0.8,-2.389326275180786E-17
70,100,0.9999999999999999,1.1,-2.4109396568960693E-17
70,100,0.9999999999999999,1.4,-2.432553061811487E-17
70,100,0.9999999999999999,1.7,-2.4541664798372206E-17
70,100,1.9999999999999998,0.5,-2.147791299742025E-17
70,100,1.9999999999999998,0.8,-2.1800018195310434E-17
70,100,1.9999999999999998,1.1,-2.2122124386764913E-17
70,100,1.9999999999999998,1.4,-2.2444231534765792E-17
70,100,1.9999999999999998,1.7,-2.2766339479337484E-17
70,100,3,0.5,-1.9649493716815104E-17
70,100,3,0.8,-2.0205946472309643E-17
70,100,3,1.1,-2.076239958345704E-17
70,100,3,1.4,-2.131885289923218E-17
70,100,3,1.7,-2.1875306386196008E-17
70,100,3.9999999999999996,0.5,-1.793321501834923E-17
70,100,3.9999999999999996,0.8,-1.8782425590403378E-17
70,100,3.9999999999999996,1.1,-1.963163538953057E-17
70,100,3.9999999999999996,1.4,-2.0480844696441675E-17
70,100,3.9999999999999996,1.7,-2.1330053730866933E-17
70,100,4.999999999999999,0.5,-1.6328559558247337E-17
70,100,4.999999999999999,0.8,-1.7478847386158762E-17
70,100,4.999999999999999,1.1,-1.8629133805157785E-17
70,100,4.999999999999999,1.4,-1.9779419515703506E-17
70,100,4.999999999999999,1.7,-2.0929704837045508E-17
70,100,6,0.5,-1.4878838015025315E-17
70,100,6,0.8,-1.631134380714403E-17
70,100,6,1.1,-1.7743848301331323E-17
70,100,6,1.4,-1.9176352255289167E-17
70,100,6,1.7,-2.0608856016209463E-17
70,100,7,0.5,-1.3607882365820445E-17
70,100,7,0.8,-1.5291735672139335E-17
70,100,7,1.1,-1.6975588132767815E-17
70,100,7,1.4,-1.865944035047886E-17
70,100,7,1.7,-2.0343292621746592E-17
70,100,7.999999999999999,0.5,-1.2516088559339257E-17
70,100,7.999999999999999,0.8,-1.441738793975948E-17
70,100,7.999999999999999,1.1,-1.631868718072397E-17
70,100,7.999999999999999,1.4,-1.821998682999229E-17
70,100,7.999999999999999,1.7,-2.0121286879635606E-17
70,100,9,0.5,-1.158930847389667E-17
70,100,9,0.8,-1.3675769992673462E-17
70,100,9,1.1,-1.576223166854294E-17
70,100,9,1.4,-1.7848693860656555E-17
70,100,9,1.7,-1.9935156407246174E-17
70,100,9.999999999999998,0.5,-1.0807108162401657E-17
70,100,9.999999999999998,0.8,-1.3050042947771023E-17
70,100,9.999999999999998,1.1,-1.529297826280368E-17
