r_hole,D_Br_TG,lambda,capacitance
70.0,100,1.0,-7.204463058823192e-19
70.0,100,2.0,-1.0736887677632729e-18
70.0,100,3.0,-1.8548439218947832e-18
70.0,100,4.0,-2.8306988436912372e-18
70.0,100,4.999999999999999,-3.834287562380362e-18
70.0,100,6.0,-4.775014816837809e-18
70.0,100,7.0,-5.612841730063935e-18
70.0,100,7.999999999999999,-6.337665176941836e-18
70.0,100,9.0,-6.954873244894036e-18
70.0,100,9.999999999999998,-7.476451454753217e-18
70.0,125,1.0,-5.739510637747897e-19
70.0,125,2.0,-8.576235781233443e-19
70.0,125,3.0,-1.4855420152549539e-18
70.0,125,4.0,-2.2725508428883133e-18
70.0,125,4.999999999999999,-3.084942195691116e-18
70.0,125,6.0,-3.8492806768875375e-18
70.0,125,7.0,-4.532290722057008e-18
70.0,125,7.999999999999999,-5.124936415409682e-18
70.0,125,9.0,-5.6308625403188585e-18
70.0,125,9.999999999999998,-6.0593309042819575e-18
70.0,150,1.0,-4.745291052401451e-19
70.0,150,2.0,-7.102740896131355e-19
70.0,150,3.0,-1.2331562774734048e-18
70.0,150,4.0,-1.890177358897559e-18
70.0,150,4.999999999999999,-2.5702415507288797e-18
70.0,150,6.0,-3.2117477209685827e-18
70.0,150,7.0,-3.7863436948934014e-18
70.0,150,7.999999999999999,-4.285974952587185e-18
70.0,150,9.0,-4.7132772480447575e-18
70.0,150,9.999999999999998,-5.075708502989927e-18
70.0,175,1.0,-4.01649654088419e-19
70.0,175,2.0,-6.028075038636376e-19
70.0,175,3.0,-1.0492058534778049e-18
70.0,175,4.0,-1.6110993298630742e-18
70.0,175,4.999999999999999,-2.1938326705059674e-18
70.0,175,6.0,-2.7445724208659082e-18
70.0,175,7.0,-3.2387490873656183e-18
70.0,175,7.999999999999999,-3.669106288341991e-18
70.0,175,9.0,-4.0376481171063256e-18
70.0,175,9.999999999999998,-4.350588752120575e-18
70.0,200,1.0,-3.46488910178409e-19
70.0,200,2.0,-5.207522519711306e-19
70.0,200,3.0,-9.081664952730111e-19
70.0,200,4.0,-1.3965687321378389e-18
70.0,200,4.999999999999999,-1.9038952730160923e-18
70.0,200,6.0,-2.3840473087090988e-18
70.0,200,7.0,-2.8155108634131606e-18
70.0,200,7.999999999999999,-3.191706807787918e-18
70.0,200,9.0,-3.514209504132034e-18
70.0,200,9.999999999999998,-3.788304436121796e-18
90.0,100,1.0,-1.274460305148157e-18
90.0,100,2.0,-1.648719079124586e-18
90.0,100,3.0,-2.413967408267641e-18
90.0,100,4.0,-3.3517090326404437e-18
90.0,100,4.999999999999999,-4.306949107052334e-18
90.0,100,6.0,-5.19679386471888e-18
90.0,100,7.0,-5.985726843087371e-18
90.0,100,7.999999999999999,-6.66591428404374e-18
90.0,100,9.0,-7.24357386126553e-18
90.0,100,9.999999999999998,-7.730706760684663e-18
90.0,125,1.0,-1.0175975609154219e-18
90.0,125,2.0,-1.3187238156735067e-18
90.0,125,3.0,-1.935050827469457e-18
90.0,125,4.0,-2.6928235307948018e-18
90.0,125,4.999999999999999,-3.4676110781048605e-18
90.0,125,6.0,-4.191976281498292e-18
90.0,125,7.0,-4.836319466609428e-18
90.0,125,7.999999999999999,-5.393456470634481e-18
90.0,125,9.0,-5.867790297515647e-18
90.0,125,9.999999999999998,-6.268631287464247e-18
90.0,150,1.0,-8.409483991511268e-19
90.0,150,2.0,-1.09147238550455e-18
90.0,150,3.0,-1.605129941197398e-18
90.0,150,4.0,-2.23824639612402e-18
90.0,150,4.999999999999999,-2.8873060950022413e-18
90.0,150,6.0,-3.4956926652811805e-18
90.0,150,7.0,-4.038138916427977e-18
90.0,150,7.999999999999999,-4.5081388578406144e-18
90.0,150,9.0,-4.9089920721683066e-18
90.0,150,9.999999999999998,-5.248249967574753e-18
90.0,175,1.0,-7.123948806170618e-19
90.0,175,2.0,-9.262064574687003e-19
90.0,175,3.0,-1.365096790630141e-18
90.0,175,4.0,-1.9069730288558066e-18
90.0,175,4.999999999999999,-2.4636412087676445e-18
90.0,175,6.0,-2.9864615512707663e-18
90.0,175,7.0,-3.4534326857298706e-18
90.0,175,7.999999999999999,-3.8586366369185894e-18
90.0,175,9.0,-4.20469463678205e-18
90.0,175,9.999999999999998,-4.497905042892208e-18
90.0,200,1.0,-6.143047312501635e-19
90.0,200,2.0,-7.999757687910763e-19
90.0,200,3.0,-1.18135455689215e-18
90.0,200,4.0,-1.6529210405600556e-18
90.0,200,4.999999999999999,-2.1380804885757866e-18
90.0,200,6.0,-2.5943869964292928e-18
90.0,200,7.0,-3.0024642425654036e-18
90.0,200,7.999999999999999,-3.3570276684414524e-18
90.0,200,9.0,-3.66014452854794e-18
90.0,200,9.999999999999998,-3.917196860237477e-18
110.0,100,1.0,-2.019001827714691e-18
110.0,100,2.0,-2.4038677011578996e-18
110.0,100,3.0,-3.137453163132408e-18
110.0,100,4.0,-4.0187409283149354e-18
110.0,100,4.999999999999999,-4.9071603932654004e-18
110.0,100,6.0,-5.7289948066037875e-18
110.0,100,7.0,-6.453907305683805e-18
110.0,100,7.999999999999999,-7.076466421136005e-18
110.0,100,9.0,-7.603585689249756e-18
110.0,100,9.999999999999998,-8.04703637554569e-18
110.0,125,1.0,-1.6130827042691681e-18
110.0,125,2.0,-1.9238799987980853e-18
110.0,125,3.0,-2.5162667937971167e-18
110.0,125,4.0,-3.2301129600148964e-18
110.0,125,4.999999999999999,-3.9523246386718476e-18
110.0,125,6.0,-4.622770805440982e-18
110.0,125,7.0,-5.2160537201969715e-18
110.0,125,7.999999999999999,-5.727007999027653e-18
110.0,125,9.0,-6.1606784645262906e-18
110.0,125,9.999999999999998,-6.5262625166649904e-18
110.0,150,1.0,-1.333279340396855e-18
110.0,150,2.0,-1.5928742975471037e-18
110.0,150,3.0,-2.0879581529838805e-18
110.0,150,4.0,-2.6858402495177213e-18
110.0,150,4.999999999999999,-3.292281573059401e-18
110.0,150,6.0,-3.856671852616537e-18
110.0,150,7.0,-4.357212453519249e-18
110.0,150,7.999999999999999,-4.789177634775645e-18
110.0,150,9.0,-5.156448225672498e-18
110.0,150,9.999999999999998,-5.466495239646603e-18
110.0,175,1.0,-1.129841823839026e-18
110.0,175,2.0,-1.3516941082610197e-18
110.0,175,3.0,-1.775177710335678e-18
110.0,175,4.0,-2.287541566495741e-18
110.0,175,4.999999999999999,-2.808252018736813e-18
110.0,175,6.0,-3.2937926238951688e-18
110.0,175,7.0,-3.725177670499404e-18
110.0,175,7.999999999999999,-4.09802529393821e-18
110.0,175,9.0,-4.41543390163206e-18
110.0,175,9.999999999999998,-4.683693987998532e-18
110.0,200,1.0,-9.74566586533219e-19
110.0,200,2.0,-1.1673843876700542e-18
110.0,200,3.0,-1.5357553601110092e-18
110.0,200,4.0,-1.9820264386580548e-18
110.0,200,4.999999999999999,-2.4362950932431113e-18
110.0,200,6.0,-2.860517805971513e-18
110.0,200,7.0,-3.2379512041080676e-18
110.0,200,7.999999999999999,-3.5645294901809035e-18
110.0,200,9.0,-3.842836903888773e-18
110.0,200,9.999999999999998,-4.0782658783908265e-18
129.99999999999997,100,1.0,-2.9504581631177428e-18
129.99999999999997,100,2.0,-3.337375435896268e-18
129.99999999999997,100,3.0,-4.023265121366933e-18
129.99999999999997,100,4.0,-4.829045313113352e-18
129.99999999999997,100,4.999999999999999,-5.6316055694477624e-18
129.99999999999997,100,6.0,-6.367984451026464e-18
129.99999999999997,100,7.0,-7.013614507439275e-18
129.99999999999997,100,7.999999999999999,-7.565558128581938e-18
129.99999999999997,100,9.0,-8.031236222009267e-18
129.99999999999997,100,9.999999999999998,-8.421915620622269e-18
129.99999999999997,125,1.0,-2.360012627667806e-18
129.99999999999997,125,2.0,-2.6734460178134243e-18
129.99999999999997,125,3.0,-3.229135292707674e-18
129.99999999999997,125,4.0,-3.883943344346579e-18
129.99999999999997,125,4.999999999999999,-4.538466014396165e-18
129.99999999999997,125,6.0,-5.141115490436693e-18
129.99999999999997,125,7.0,-5.671176992188758e-18
129.99999999999997,125,7.999999999999999,-6.125573785710096e-18
129.99999999999997,125,9.0,-6.5098681302916465e-18
129.99999999999997,125,9.999999999999998,-6.832907808468993e-18
129.99999999999997,150,1.0,-1.9538882595205108e-18
129.99999999999997,150,2.0,-2.21586739521229e-18
129.99999999999997,150,3.0,-2.680910970366311e-18
129.99999999999997,150,4.0,-3.230249925553467e-18
129.99999999999997,150,4.999999999999999,-3.78085728096208e-18
129.99999999999997,150,6.0,-4.289103019814963e-18
129.99999999999997,150,7.0,-4.737161158656874e-18
