nu,mu_meV,E_meV
0.000000000000000000e+00,1.545414821793244542e+01,0.000000000000000000e+00
6.566416040100250644e-04,1.515605638187259885e+01,1.004996692374551630e-02
1.313283208020050129e-03,1.503258270054390877e+01,1.996152511872437141e-02
1.969924812030075193e-03,1.493783801255529653e+01,2.980143768367674029e-02
2.626566416040100257e-03,1.485796454581274872e+01,3.958401947602314258e-02
3.283208020050125322e-03,1.478759460896490374e+01,4.931727323360678150e-02
3.939849624060150386e-03,1.472397532309644319e+01,5.900653554212817453e-02
4.596491228070175017e-03,1.466547135185945194e+01,6.865570224493323936e-02
5.253132832080200515e-03,1.461101718315537923e+01,7.826778244063986589e-02
5.909774436090226013e-03,1.455987270975290215e+01,8.784519240547943031e-02
6.566416040100250644e-03,1.451149906408181423e+01,9.738992850165072157e-02
7.223057644110275274e-03,1.446548944465379627e+01,1.069036766085288276e-01
7.879699248120300772e-03,1.442152780717814764e+01,1.163878852801829289e-01
8.536340852130326270e-03,1.437936281822145901e+01,1.258438167887727666e-01
9.192982456140350034e-03,1.433879069760211067e+01,1.352725839831910026e-01
9.849624060150375532e-03,1.429964350123226424e+01,1.446751776675200829e-01
1.050626566416040103e-02,1.426178087369305558e+01,1.540524874247010956e-01
1.116290726817042653e-02,1.422508409172339050e+01,1.634053177767551268e-01
1.181954887218045203e-02,1.418945166576684436e+01,1.727344009452544404e-01
1.247619047619047579e-02,1.415479602865307385e+01,1.820404070805151098e-01
1.313283208020050129e-02,1.412104099999736029e+01,1.913239525711246669e-01
1.378947368421052679e-02,1.408811981513982658e+01,2.005856068738388898e-01
1.444611528822055055e-02,1.405597357220263532e+01,2.098258981864751238e-01
1.510275689223057605e-02,1.402454999371446043e+01,2.190453182043576863e-01
1.575939849624060154e-02,1.399380242826044451e+01,2.282443261423995895e-01
1.641604010025062704e-02,1.396368903763320723e+01,2.374233521625301047e-01
1.707268170426065254e-02,1.393417212902058111e+01,2.465828003149903858e-01
1.772932330827067804e-02,1.390521760180099875e+01,2.557230510787438238e-01
1.838596491228070007e-02,1.387679448578646024e+01,2.648444635686534321e-01
1.904260651629072557e-02,1.384887455308884441e+01,2.739473774636225212e-01
1.969924812030075106e-02,1.382143198975134091e+01,2.830321146994923542e-01
2.035588972431077656e-02,1.379444311626785691e+01,2.920989809623708577e-01
2.101253132832080206e-02,1.376788614837830949e+01,3.011482670116657490e-01
2.166917293233082756e-02,1.374174099126510740e+01,3.101802498570123134e-01
2.232581453634085306e-02,1.371598906162136089e+01,3.191951938092131291e-01
2.298245614035087855e-02,1.369061313311173578e+01,3.281933514220202186e-01
2.363909774436090405e-02,1.366559720157335889e+01,3.371749643389218565e-01
2.429573934837092608e-02,1.364092636695980332e+01,3.461402640569113953e-01
2.495238095238095158e-02,1.361658672955438831e+01,3.550894726174210758e-01
2.560902255639097708e-02,1.359256529839979422e+01,3.640228032331153107e-01
2.626566416040100257e-02,1.356884991023118303e+01,3.729404608580041969e-01
2.692230576441102807e-02,1.354542915747677512e+01,3.818426427073017826e-01
2.757894736842105357e-02,1.352229232411626825e+01,3.907295387325867009e-01
2.823558897243107907e-02,1.349942932837368481e+01,3.996013320570884209e-01
2.889223057644110110e-02,1.347683067137514890e+01,4.084581993753016449e-01
2.954887218045112660e-02,1.345448739102981861e+01,4.173003113206025239e-01
3.020551378446115209e-02,1.343239102049887990e+01,4.261278328040868923e-01
3.086215538847117759e-02,1.341053355070675757e+01,4.349409233274652009e-01
3.151879699248120309e-02,1.338890739642385164e+01,4.437397372725130906e-01
3.217543859649122512e-02,1.336750536551351232e+01,4.525244241692894520e-01
3.283208020050125409e-02,1.334632063098977639e+01,4.612951289450838432e-01
3.348872180451127611e-02,1.332534670557811474e+01,4.700519921558366510e-01
3.414536340852130508e-02,1.330457741851047260e+01,4.787951502015900807e-01
3.480200501253132711e-02,1.328400689431936144e+01,4.875247355273562011e-01
3.545864661654135608e-02,1.326362953342444051e+01,4.962408768106505996e-01
3.611528822055137811e-02,1.324343999432983487e+01,5.049436991368054795e-01
3.677192982456140014e-02,1.322343317727177414e+01,5.136333241630706148e-01
3.742857142857142910e-02,1.320360420917472588e+01,5.223098702724052744e-01
3.808521303258145113e-02,1.318394842979026471e+01,5.309734527177797370e-01
3.874185463659148010e-02,1.316446137890700108e+01,5.396241837577280265e-01
3.939849624060150213e-02,1.314513878453208306e+01,5.482621727838195014e-01
4.005513784461153109e-02,1.312597655195560087e+01,5.568875264406614178e-01
4.071177944862155312e-02,1.310697075361856712e+01,5.655003487389826944e-01
4.136842105263158209e-02,1.308811761971346677e+01,5.741007411623072487e-01
4.202506265664160412e-02,1.306941352945366397e+01,5.826888027676728754e-01
4.268170426065162615e-02,1.305085500295439793e+01,5.912646302808193255e-01
4.333834586466165512e-02,1.303243869367379659e+01,5.998283181862286151e-01
4.399498746867167714e-02,1.301416138136742440e+01,6.083799588123699476e-01
4.465162907268170611e-02,1.299601996551433558e+01,6.169196424124739897e-01
4.530827067669172814e-02,1.297801145917665266e+01,6.254474572411319322e-01
4.596491228070175711e-02,1.296013298325821239e+01,6.339634896269940034e-01
4.662155388471177914e-02,1.294238176113103655e+01,6.424678240418184583e-01
4.727819548872180810e-02,1.292475511360124329e+01,6.509605431661040775e-01
4.793483709273183013e-02,1.290725045418852801e+01,6.594417279515186747e-01
4.859147869674185216e-02,1.288986528469568960e+01,6.679114576803252268e-01
4.924812030075188113e-02,1.287259719104670275e+01,6.763698100219850406e-01
4.990476190476190316e-02,1.285544383937370583e+01,6.848168610871104844e-01
5.056140350877193212e-02,1.283840297233495242e+01,6.932526854789246018e-01
5.121804511278195415e-02,1.282147240564726687e+01,7.016773563423723825e-01
5.187468671679198312e-02,1.280465002481795445e+01,7.100909454110214680e-01
5.253132832080200515e-02,1.278793378206227693e+01,7.184935230518768590e-01
5.318796992481202718e-02,1.277132169339381740e+01,7.268851583082295287e-01
5.384461152882205615e-02,1.275481183587600675e+01,7.352659189406465234e-01
5.450125313283207817e-02,1.273840234502403312e+01,7.436358714662051339e-01
5.515789473684210714e-02,1.272209141234720953e+01,7.519950811960689485e-01
5.581453634085212917e-02,1.270587728302261787e+01,7.603436122714910539e-01
5.647117794486215814e-02,1.268975825369157029e+01,7.686815276983320899e-01
5.712781954887218017e-02,1.267373267037103801e+01,7.770088893801671004e-01
5.778446115288220220e-02,1.265779892647282345e+01,7.853257581500581175e-01
5.844110275689223116e-02,1.264195546092373235e+01,7.936321938010579835e-01
5.909774436090225319e-02,1.262620075638055184e+01,8.019282551155112460e-01
5.975438596491228216e-02,1.261053333753402406e+01,8.102139998932125220e-01
6.041102756892230419e-02,1.259495176949647721e+01,8.184894849784781767e-01
6.106766917293233315e-02,1.257945465626810844e+01,8.267547662861853830e-01
6.172431077694235518e-02,1.256404063927729808e+01,8.350098988268280786e-01
6.238095238095238415e-02,1.254870839599060162e+01,8.432549367306378940e-01
6.303759398496240618e-02,1.253345663858844006e+01,8.514899332708129043e-01
6.369423558897242821e-02,1.251828411270269115e+01,8.597149408858983932e-01
6.435087719298245024e-02,1.250318959621271020e+01,8.679300112013568214e-01
6.500751879699248614e-02,1.248817189809650152e+01,8.761351950503657449e-01
6.566416040100250817e-02,1.247322985733396905e+01,8.843305424938779913e-01
6.632080200501253020e-02,1.245836234185941827e+01,8.925161028399790641e-01
6.697744360902255223e-02,1.244356824756059510e+01,9.006919246625705311e-01
6.763408521303258814e-02,1.242884649732180513e+01,9.088580558194117032e-01
6.829072681704261016e-02,1.241419604010871680e+01,9.170145434695454734e-01
6.894736842105263219e-02,1.239961585009268674e+01,9.251614340901378464e-01
6.960401002506265422e-02,1.238510492581252365e+01,9.332987734927532530e-01
7.026065162907267625e-02,1.237066228937174905e+01,9.414266068390919617e-01
7.091729323308271216e-02,1.235628698566955563e+01,9.495449786562109029e-01
7.157393483709273418e-02,1.234197808166372212e+01,9.576539328512501115e-01
7.223057644110275621e-02,1.232773466566390042e+01,9.657535127256859919e-01
7.288721804511277824e-02,1.231355584665374892e+01,9.738437609891286151e-01
7.354385964912280027e-02,1.229944075364047507e+01,9.819247197726838072e-01
7.420050125313283618e-02,1.228538853503047257e+01,9.899964306418966853e-01
7.485714285714285821e-02,1.227139835802976364e+01,9.980589346092924030e-01
7.551378446115288023e-02,1.225746940806804730e+01,1.006112272146532538e+00
7.617042606516290226e-02,1.224360088824524695e+01,1.014156483196199332e+00
7.682706766917293817e-02,1.222979201879948796e+01,1.022191607183224216e+00
7.748370927318296020e-02,1.221604203659548027e+01,1.030217683025972830e+00
7.814035087719298223e-02,1.220235019463238224e+01,1.038234749147002534e+00
7.879699248120300425e-02,1.218871576157023817e+01,1.046242843483500051e+00
7.945363408521302628e-02,1.217513802127412248e+01,1.054242003497416258e+00
8.011027568922306219e-02,1.216161627237522858e+01,1.062232266185306306e+00
8.076691729323308422e-02,1.214814982784809416e+01,1.070213668087885761e+00
8.142355889724310625e-02,1.213473801460326840e+01,1.078186245299317170e+00
8.208020050125312828e-02,1.212138017309473348e+01,1.086150033476230403e+00
8.273684210526316418e-02,1.210807565694143939e+01,1.094105067846492974e+00
8.339348370927318621e-02,1.209482383256230875e+01,1.102051383217733438e+00
8.405012531328320824e-02,1.208162407882417533e+01,1.109989013985632322e+00
8.470676691729323027e-02,1.206847578670205401e+01,1.117917994141983007e+00
8.536340852130325230e-02,1.205537835895125198e+01,1.125838357282535895e+00
8.602005012531328820e-02,1.204233120979080596e+01,1.133750136614629200e+00
8.667669172932331023e-02,1.202933376459776937e+01,1.141653364964616335e+00
8.733333333333333226e-02,1.201638545961190907e+01,1.149548074785096130e+00
8.798997493734335429e-02,1.200348574165036730e+01,1.157434298161951647e+00
8.864661654135339020e-02,1.199063406783190189e+01,1.165312066821205361e+00
8.930325814536341222e-02,1.197782990531027991e+01,1.173181412135695600e+00
8.995989974937343425e-02,1.196507273101649815e+01,1.181042365131582228e+00
9.061654135338345628e-02,1.195236203140944653e+01,1.188894956494684463e+00
9.127318295739347831e-02,1.193969730223468773e+01,1.196739216576657716e+00
